SN,Playback File,Number of Calls
1,0000_82_0504_41935ML Phylloscopus humei India Ben King_1982 EDITED,5
2,0000_83_06xx_Kyrgystan_Svensson_P. humei_022A-WS4368XXXXXX-0107M0_2 EDITED,24
3,0000_86_02xx_Bharatpur_Hansen_P. humei_022A-WS4368XXXXXX-0104M0_3 EDITED,37
4,0000_86_02xx_Bharatpur_P. humei_Scharringa_022A-WS4368XXXXXX-0106M0_4 EDITED,75
5,0000_89_12xx_Nepal_Sebastian_P. humei_022A-W0001X0537XX-0135M0_7 EDITED,8
6,0000_9001xx_Bharatpur_Sebatian_P. humei_022A-W0001X0537XX-0115M0_8 EDITED,20
7,0000_91_0000_x_Phylloscopus humei Bharatpur K91 2_489-491 EDITED,7
8,0000_91_0000_x_Phylloscopus humei call Bharatpur Ind91 2_436-468 EDITED,23
9,0000_91_02xx_Netherlands_Hans_XC477443 - Hume's Leaf Warbler - Phylloscopus humei EDITED,3
10,0000_91_11xx_Nepal_Pholt_P. humei_022A-WS4370XXXXXX-0108M0 EDITED,42
11,0000_91_11xx_Nepal_Pholt_P. humei_022A-WS4370XXXXXX-0109M0 EDITED,41
12,0000_91_0300x_Phylloscopus humei L PA_91_03_653-EDITED,30
13,0000_92_0000_x_Phylloscopus humei Call Bharatpur Ind92 185-230 EDITED,48
14,0000_92_0100x_Phylloscopus humei L PA_92_01_553 EDITED-,16
15,0000_93_01xx_Bharatpur_Pholt_P. humei_022A-WS4369XXXXXX-0105M0_2 EDITED,21
16,0000_94_xxxx_Phylloscopus humei_Trevor Price_Loud_humei(1)_Manali 1994 Trevor EDITED,30
17,0000_96_01xx_Bharatpur_Harrap_P. humei_022A-W0001X1735XX-0132M0_96+97_1 EDITED,4
18,0000_96_02xx_Nepal_Harrap_P. humei_022A-W0001X1726XX-0142M0_96+97_2 EDITED,17
19,0000_97_02xx_Bharatpur_Pholt_P. humei_022A-W0001X0197XX-0110M0_96+97_4 EDITED,14
20,"0000_98_01xx_Bharatpur_Pholt_Warbler, Hume's (Rajasthan)(CD24-29)_98+99_3 EDITED",9
21,0000_99_04xx_Himachal_PS_AN4Cue 17 Phylloscopus humei GHNP Himachal 1999 April_98+99_10 EDITED,24
22,0202xx_Bharatpur_Hannu_Phyhum2D202_01+02_9 EDITED,76
23,2000_0408_24p70 Phylloscopus humei FRI Dehradun Uttarakhand_1 EDITED,12
24,2001_02xx_Bharatpur_Hannu_PhyhumD301_01+02_2 n EDITED,17
25,2003_XC749562 - Hume's Leaf Warbler - Phylloscopus humei humei EDITED,17
26,041009_Datcut29 Phylloscopus humie IIFM Bhopal Madhya Pradesh EDITED,46
27,050916_D129aCue 23 Phylloscopus spp near Manali Himachal P-humei background_04+05_9 EDITED,32
28,060107_D133Cue 07 Phylloscopus humei U Kathotia Area near Bhopal Madhya Pradesh_06+07_6 EDITED,9
29,070204_D170Cue 83 Phylloscopus humei Badkal_Faridabad Haryana_06+07_10 EDITED,15
30,081105_D191Cue 37 Phylloscopus spp Sariska Rajasthan_9 EDITED,33
31,090402_D195Cue 33 Phylloscopus humei+tytleri Dhanaulti Uttarakhand_9 EDITED,9
32,100215_07 Phylloscopus humei U SOOR SAROVAR AGRA UP_4 EDITED,12
33,110200x_Harike_AnteStrand_XC105580 - Hume's Leaf Warbler - Phylloscopus humei_1 EDITED,7
34,110300x_Haryana_MikeNelson_XC73382 - Hume's Leaf Warbler - Phylloscopus humei humei_3 EDITED,10
